issue,index,n_rows,n_cols,page_number,match_score,match_margin,match_source,scan_rel_path
1969_01,15,3,5,83,1.0,0.211,cells,1969/01/IMG_0045_1L.jpg
1969_01,16,16,8,85,0.826,0.413,cells,1969/01/IMG_0046_1L.jpg
1969_02,0,2,4,14,0.917,0.472,cells,1969/02/IMG_0060_2R.jpg
1969_02,1,5,8,18,0.939,0.212,cells,1969/02/IMG_0062_2R.jpg
1969_02,2,11,5,19,0.968,0.065,cells,1969/02/IMG_0063_1L.jpg
1969_02,3,4,11,26,0.931,0.345,cells,1969/02/IMG_0066_2R.jpg
1969_02,4,4,11,27,1.0,0.231,cells,1969/02/IMG_0067_1L.jpg
1969_02,5,8,7,35,1.0,0.838,cells,1969/02/IMG_0071_1L.jpg
1969_02,6,15,4,40,0.969,0.875,cells,1969/02/IMG_0073_2R.jpg
1969_02,7,10,7,43,1.0,0.042,cells,1969/02/IMG_0075_1L.jpg
1969_02,8,10,6,43,1.0,0.042,cells,1969/02/IMG_0075_1L.jpg
1969_02,9,9,4,44,0.944,0.695,cells,1969/02/IMG_0075_2R.jpg
1969_02,10,6,3,55,0.907,0.674,cells,1969/02/IMG_0081_1L.jpg
1969_02,11,2,9,70,0.941,0.765,context,1969/02/IMG_0088_2R.jpg
1969_03,0,9,3,10,1.0,0.429,cells,1969/03/IMG_0108_2R.jpg
1969_03,1,3,3,12,1.0,0.444,cells,1969/03/IMG_0109_2R.jpg
1969_03,2,16,4,85,0.968,0.807,cells,1969/03/IMG_0146_1L.jpg
1969_04,0,4,7,40,0.882,0.353,cells,1969/04/IMG_0024_2R.jpg
1969_04,1,12,9,80,1.0,0.814,cells,1969/04/IMG_0044_2R.jpg
1969_05,0,2,3,10,1.0,0.917,cells,1969/05/IMG_0059_2R.jpg
1969_05,1,8,10,29,0.892,0.595,cells,1969/05/IMG_0069_1L.jpg
1969_05,2,7,6,30,1.0,0.483,cells,1969/05/IMG_0069_2R.jpg
1969_05,3,4,4,30,0.941,0.735,cells,1969/05/IMG_0069_2R.jpg
1969_05,4,8,4,34,1.0,0.805,cells,1969/05/IMG_0071_2R.jpg
1969_05,5,4,4,50,0.933,0.668,cells,1969/05/IMG_0079_2R.jpg
1969_05,6,2,3,52,1.0,0.819,cells,1969/05/IMG_0080_2R.jpg
1969_05,7,7,5,77,1.0,0.333,cells,1969/05/IMG_0093_1L.jpg
1969_05,8,3,4,78,1.0,0.667,cells,1969/05/IMG_0093_2R.jpg
1969_05,9,3,4,84,1.0,0.762,cells,1969/05/IMG_0096_2R.jpg
1969_06,0,5,6,7,0.939,0.668,cells,1969/06/IMG_0108_1L.jpg
1969_06,1,7,4,19,0.939,0.531,cells,1969/06/IMG_0114_1L.jpg
1969_06,2,14,5,30,1.0,0.456,cells,1969/06/IMG_0119_2R.jpg
1969_06,3,3,8,39,0.692,0.462,cells,1969/06/IMG_0124_1L.jpg
1969_06,4,9,7,58,1.0,0.201,cells,1969/06/IMG_0133_2R.jpg
1969_06,5,9,8,62,0.786,0.0,cells,1969/06/IMG_0135_2R.jpg
1969_06,6,9,8,62,0.857,0.071,cells,1969/06/IMG_0135_2R.jpg
